,sdEnergy,sdEnergyErr,sdZenith,sdZenithErr,sdAzimuth,sdAzimuthErr,sdXpos,sdYpos,sdZpos,sdS1000,sdS1000Err,sdRopt,sdBeta,sdGamma,fdXmax
sdEnergy,1.0,0.5888883144421836,0.16325621083067654,-0.17352867433882002,0.056104885442677506,-0.32602659013606183,0.0828144121444433,0.06780723904952793,0.08686253948867642,0.9315941495135827,0.5100674563236469,0.30090827930780145,-0.03065309444961184,0.07748701628528464,-0.5096602439905321
sdEnergyErr,0.5888883144421836,1.0,0.2530368607117694,0.058743023196936715,-0.13868581009748027,-0.02459930460090626,0.09891978981299442,0.13126557726181456,-0.039398876154454796,0.5056481193756659,0.8996883532546739,0.855266115607202,0.11429387388164822,0.08010647282242611,-0.35938588900145246
sdZenith,0.16325621083067654,0.2530368607117694,1.0,0.1585327852445143,-0.15278654453716936,-0.41702945258332363,-0.33501602919249573,-0.01686162630263716,0.1953292806186854,-0.11929323257349798,-0.12374935586970925,0.006398917714342036,0.944812140777587,-0.4949253535136367,-0.1582194030028422
sdZenithErr,-0.17352867433882002,0.058743023196936715,0.1585327852445143,1.0,0.058242534054595355,0.6963671292983625,-0.21931610561374362,-0.016316377615350573,0.15632809221245922,-0.17619194805719393,0.0499400762208509,0.08278302908089243,0.21876670137926696,-0.10299765118294127,0.3524473338213995
sdAzimuth,0.056104885442677506,-0.13868581009748027,-0.15278654453716936,0.058242534054595355,1.0,0.052321824218324556,0.2770829516484968,-0.3001124698015688,-0.165467041331819,0.1135582005926238,-0.0872902161378292,0.015019024505986345,-0.08683081153928394,-0.07612188573773529,0.15789748992271702
sdAzimuthErr,-0.32602659013606183,-0.02459930460090626,-0.41702945258332363,0.6963671292983625,0.052321824218324556,1.0,-0.12735844518510842,0.046253927708771105,0.19167202881131118,-0.21232676760706437,0.14464569024658896,0.1976715945779519,-0.2674241779138606,0.08953203314153806,0.3858285705340119
sdXpos,0.0828144121444433,0.09891978981299442,-0.33501602919249573,-0.21931610561374362,0.2770829516484968,-0.12735844518510842,1.0,0.1692755045107845,-0.7708885061125548,0.19776929461106213,0.21597441544378224,0.22189450274611125,-0.372636667467999,0.25641984785430266,-0.011092695720398782
sdYpos,0.06780723904952793,0.13126557726181456,-0.01686162630263716,-0.016316377615350573,-0.3001124698015688,0.046253927708771105,0.1692755045107845,1.0,0.1392991049254243,0.038713601556995964,0.11557139558595524,0.05671415913313738,-0.06802807810585201,0.04509153218823807,0.006332499604793233
sdZpos,0.08686253948867642,-0.039398876154454796,0.1953292806186854,0.15632809221245922,-0.165467041331819,0.19167202881131118,-0.7708885061125548,0.1392991049254243,1.0,0.002494632448861108,-0.11028361329958823,-0.11237835699093611,0.18944815127275225,-0.026194993749345138,-0.1047038000968869
sdS1000,0.9315941495135827,0.5056481193756659,-0.11929323257349798,-0.17619194805719393,0.1135582005926238,-0.21232676760706437,0.19776929461106213,0.038713601556995964,0.002494632448861108,1.0,0.5839573628501323,0.3105893806306134,-0.31321702479472247,0.2725570985184683,-0.48157751004108384
sdS1000Err,0.5100674563236469,0.8996883532546739,-0.12374935586970925,0.0499400762208509,-0.0872902161378292,0.14464569024658896,0.21597441544378224,0.11557139558595524,-0.11028361329958823,0.5839573628501323,1.0,0.8764680848672802,-0.2690450432803634,0.36893104024220147,-0.30937174180116134
sdRopt,0.30090827930780145,0.855266115607202,0.006398917714342036,0.08278302908089243,0.015019024505986345,0.1976715945779519,0.22189450274611125,0.05671415913313738,-0.11237835699093611,0.3105893806306134,0.8764680848672802,1.0,-0.05938401259160104,0.1637407277480343,-0.24321708178377555
sdBeta,-0.03065309444961184,0.11429387388164822,0.944812140777587,0.21876670137926696,-0.08683081153928394,-0.2674241779138606,-0.372636667467999,-0.06802807810585201,0.18944815127275225,-0.31321702479472247,-0.2690450432803634,-0.05938401259160104,1.0,-0.6662441066571897,-0.031749368386108236
sdGamma,0.07748701628528464,0.08010647282242611,-0.4949253535136367,-0.10299765118294127,-0.07612188573773529,0.08953203314153806,0.25641984785430266,0.04509153218823807,-0.026194993749345138,0.2725570985184683,0.36893104024220147,0.1637407277480343,-0.6662441066571897,1.0,-0.07070829076450547
fdXmax,-0.5096602439905321,-0.35938588900145246,-0.1582194030028422,0.3524473338213995,0.15789748992271702,0.3858285705340119,-0.011092695720398782,0.006332499604793233,-0.1047038000968869,-0.48157751004108384,-0.30937174180116134,-0.24321708178377555,-0.031749368386108236,-0.07070829076450547,1.0
